evolution$generation,gravityDecay,innovationDecay,mutationRate,newInnovationHierarchy,earlyAdoptersRate,utilityStd,utilityDistribution,averageGravityFlow,oppAverageUtility,oppAverageUtility,averageGravityFlow
6000,0.01,0.3950384067615065,0.5,0.10003148990992487,0.01,1.996272834069794,log-normal,3.0670834574824514E-5,-9.721164451272319,-9.721164451272319,3.0670834574824514E-5
6000,0.021070305812603253,0.037848539699081335,0.5,0.1,0.5827289471096148,1.9929536112439343,normal,9.143592754966549E-6,-3.7868764020165484,-3.7868764020165484,9.143592754966549E-6
6000,0.01000087483143747,0.1390435848105745,0.4998018359618788,0.10144065089382309,0.6005600074614901,1.9574152127849014,log-normal,1.6383225899049408E-5,-6.267287569515739,-6.267287569515739,1.6383225899049408E-5
6000,0.010920700282764692,0.048298112935956185,0.4999088465957232,0.10000586855789824,0.09923368899809777,1.9979880289037146,log-normal,1.757693072674189E-5,-6.784860236740671,-6.784860236740671,1.757693072674189E-5
6000,0.010948570409673645,0.048013055430327675,0.4999125547201429,0.10000598415925324,0.09841515250804868,1.9980896555412329,normal,9.660433337424252E-6,-3.9727527027198217,-3.9727527027198217,9.660433337424252E-6
6000,0.010966186319903407,0.047449766076988587,0.4999704663733986,0.10011993377599082,0.10021352850615484,1.998155340095437,log-normal,1.763676818200442E-5,-6.998547137800129,-6.998547137800129,1.763676818200442E-5
6000,0.01,0.10181218879313886,0.49973449356006494,0.10001842867943024,0.052112132422293005,2.0,log-normal,2.032385627799638E-5,-8.441024562901,-8.441024562901,2.032385627799638E-5
6000,0.010428059400241338,0.06375550640468497,0.49999470905557936,0.10122727273999531,0.018023493479800826,2.0,log-normal,1.8530897521336935E-5,-7.6078088867669305,-7.6078088867669305,1.8530897521336935E-5
6000,0.019741814886459118,0.32420688744904574,0.4950883313232013,0.1,0.07002853668539369,1.9645544950455813,log-normal,2.840628730088613E-5,-9.518340768347976,-9.518340768347976,2.840628730088613E-5
6000,0.01,0.05457237859322718,0.4999999722862678,0.1011911171796996,0.012745472709891067,1.9999930810794837,log-normal,1.792878258893253E-5,-7.345253262015761,-7.345253262015761,1.792878258893253E-5
6000,0.011095716630686309,0.05554096549088505,0.4999957241502589,0.10117605432913428,0.012403676620769338,1.999931448918276,normal,1.0576400567794038E-5,-4.343169110790823,-4.343169110790823,1.0576400567794038E-5
6000,0.012436605436560635,0.2898832570136043,0.4978319154330679,0.1,0.010458644432857406,1.9082113493762005,log-normal,2.642961949786799E-5,-9.115355529370387,-9.115355529370387,2.642961949786799E-5
6000,0.02618480158909172,0.331065842581306,0.49490081006993153,0.10001024065906473,0.06993543718010535,1.962141291072247,log-normal,2.722211977635236E-5,-9.323507048359728,-9.323507048359728,2.722211977635236E-5
6000,0.010449667429301262,0.06354616270385133,0.49999999999999994,0.10111324257698832,0.01,2.0,normal,1.0064346472253903E-5,-4.274445853827522,-4.274445853827522,1.0064346472253903E-5
6000,0.02781721318705744,0.41188271999203346,0.49999985813341385,0.10001118101544573,0.06919393922445478,1.9397480178553481,normal,1.2147053446920256E-5,-4.4978347107478385,-4.4978347107478385,1.2147053446920256E-5
6000,0.014657244560758984,0.26669589822071105,0.493809453056626,0.10011698779209785,0.05442475721975532,1.9239088869440666,log-normal,2.633357518902064E-5,-8.838665263401307,-8.838665263401307,2.633357518902064E-5
6000,0.011501782470056822,0.28715246354801993,0.49480384192441773,0.10005985713943892,0.02418253029019557,1.9277581294875155,log-normal,2.170463214259157E-5,-8.828083893563392,-8.828083893563392,2.170463214259157E-5
6000,0.036779949181829044,0.07227265464760516,0.4998325458804786,0.1,0.01,1.9995389815543383,normal,1.1119341108093272E-5,-4.4061344318417355,-4.4061344318417355,1.1119341108093272E-5
6000,0.010796439620300318,0.05512427398905271,0.4999069894860455,0.10000600816172321,0.09994903124336942,1.9978919605904824,normal,9.917727427560055E-6,-4.14387828162762,-4.14387828162762,9.917727427560055E-6
6000,0.020383661874618743,0.28632531292102015,0.4777362427186419,0.10006910212922956,0.01,1.9987022373933765,normal,1.2652153317902333E-5,-4.574175143261659,-4.574175143261659,1.2652153317902333E-5
6000,0.01,0.30284494586672084,0.5,0.1,0.0861729839430005,2.0,normal,1.1888948350175115E-5,-4.4302065348867306,-4.4302065348867306,1.1888948350175115E-5
